67,184,280,230,144,249,255,96,225,263,259,229,215,198,301,194,260,296,180,278,283,40,233,191,179
20,38,14,29,55,29,14,50,19,12,25,20,31,83,16,66,12,14,44,11,37,32,10,50,18
511,801,1082,1012,430,491,922,430,851,691,591,681,501,401,872,370,941,901,551,832,591,481,781,461,611
811,719,1039,948,667,795,855,1104,857,1074,881,906,703,644,911,805,2008,1324,640,1090,766,736,984,672,969
1132,721,1482,741,551,791,1001,451,932,1122,771,921,601,491,1061,511,1582,721,761,1282,761,430,1212,651,831
751,791,1212,821,551,1082,1002,520,891,1072,801,832,671,521,1011,541,1051,931,631,1361,831,731,992,611,901
841,831,1231,992,550,741,1092,570,911,1102,811,1201,561,631,1522,691,661,921,551,1102,991,761,932,731,661
921,1102,1212,1012,621,751,992,621,842,1011,1202,771,822,631,1332,771,1282,1182,671,1171,761,691,1032,801,1172
1352,892,1582,721,530,741,1001,491,981,871,1091,931,721,560,1312,631,861,1071,711,991,621,651,941,731,831
691,701,962,731,531,1262,931,441,701,831,871,831,570,471,841,500,1001,841,581,1091,932,510,921,531,1402
891,901,1532,811,661,961,1272,621,1121,1232,901,922,1071,671,1282,741,1372,1111,701,1262,761,701,1091,911,902
1125,921,1625,797,656,890,844,797,1031,1391,922,781,875,625,1109,844,1203,1000,812,1484,782,547,1156,688,1297
1039,1002,1303,874,812,913,980,796,1118,1060,1516,928,1416,950,992,782,1068,1538,873,1348,996,881,1301,809,1134
871,1142,1132,921,851,802,1322,601,831,1272,912,751,861,891,1032,761,872,2163,1081,1272,851,992,1021,691,992
406,562,891,891,532,547,766,359,782,860,938,1204,797,500,766,734,1063,735,484,922,578,500,2312,515,688
751,691,1112,841,511,911,1012,530,1723,1953,802,941,921,571,1042,591,971,1503,751,1131,791,611,1502,541,941
770,660,710,820,440,600,770,500,710,710,1210,710,660,440,820,490,1260,940,500,710,990,500,720,660,930
1122,731,1002,1151,661,1002,901,541,931,1272,942,1692,871,530,1332,561,1562,822,691,861,861,681,1802,932,651
781,721,1151,1382,811,1212,1121,591,1152,2303,992,1201,942,610,1552,651,1171,1483,791,1272,1001,640,1242,741,961
912,881,1102,971,1022,911,1122,510,1071,1231,1281,1001,711,631,1272,621,1061,1321,660,1252,951,821,1062,711,812
688,828,1203,860,547,828,797,562,1031,1078,734,688,703,469,1125,547,750,781,531,1062,766,500,859,609,906
1031,1016,985,875,594,938,1266,547,1094,937,1093,859,750,594,1047,1547,1031,1172,578,1297,641,547,907,734,719
911,981,1131,1061,1032,762,1181,630,821,1031,961,1122,711,701,1062,711,1943,1202,881,1082,1042,902,1242,651,901
688,625,2156,859,1062,1266,1250,594,859,2063,985,937,734,875,1156,625,687,797,500,1016,812,578,1438,531,828
438,516,891,594,718,610,625,594,625,891,672,922,609,469,907,532,1046,765,469,860,672,688,1469,453,765
500,532,766,641,500,1000,734,406,703,750,828,781,500,484,938,515,844,937,500,797,657,531,703,641,812
688,703,937,547,531,734,734,687,875,907,703,828,594,516,860,578,1078,844,578,969,766,531,890,703,750
765,609,719,672,531,610,891,515,890,1532,625,922,656,453,890,484,719,891,516,1094,625,625,1125,500,734
640,672,890,641,578,843,797,422,782,1797,672,829,656,531,1031,547,1781,828,610,1156,750,562,1453,516,812
718,703,859,844,578,828,1172,547,875,1109,828,922,688,640,1172,547,1250,969,657,844,1000,531,1015,813,844
1820,820,940,830,550,930,1920,830,1640,1650,990,1920,830,660,1270,710,1370,1040,770,1090,1100,600,1270,830,1480
841,831,1502,931,561,801,972,580,912,1372,831,952,791,600,962,631,1161,1182,701,1001,821,531,901,701,1061
1000,735,1015,750,578,890,984,547,859,750,828,1156,641,547,891,547,828,797,516,953,641,578,766,703,938
771,831,1101,792,600,842,871,721,811,1011,851,791,691,571,1011,541,1222,1082,731,862,781,701,911,631,891
841,841,1162,851,771,861,951,641,911,1863,871,1232,771,741,1032,1042,981,1011,771,981,761,721,961,681,791
872,751,1252,751,641,991,1082,520,912,1072,961,731,1152,530,1022,521,1042,1091,691,1242,751,861,911,661,841
656,703,1922,657,453,875,1422,422,938,953,688,688,734,515,875,500,1422,891,562,1375,641,532,922,610,719
951,922,1072,872,791,881,891,691,1222,1082,972,1001,822,791,1021,691,1342,1782,791,1062,1042,721,1161,771,1142
688,547,844,719,532,672,735,406,766,1281,734,1157,688,484,922,484,1047,860,859,718,1609,454,938,578,750
921,1109,1047,672,516,672,844,578,844,938,812,687,656,578,1187,500,891,985,859,1000,1344,625,859,641,813
591,641,951,611,610,621,1071,561,751,911,671,741,651,561,961,581,1341,1672,521,982,651,461,882,550,751
641,691,841,621,581,1632,1092,611,851,971,841,701,781,541,1071,601,1131,892,731,1022,670,561,891,641,661
1078,984,1000,906,797,1063,1172,656,860,1047,875,1016,765,609,828,797,1015,1625,766,1500,968,657,1172,719,937
781,802,1162,731,591,721,1442,821,921,1813,1042,1101,781,701,1532,751,1221,961,751,1111,882,661,1021,842,1021
1016,944,1104,784,616,824,946,609,974,952,847,761,927,644,984,581,1022,1153,775,944,793,637,1192,703,937
591,531,942,651,510,761,661,511,681,741,731,851,691,511,811,590,671,1743,651,811,631,531,1312,611,691
961,761,1232,781,601,691,791,651,861,941,691,1132,621,541,911,511,1112,961,541,811,761,530,801,581,771
461,571,951,621,430,571,861,551,861,661,862,601,571,471,941,521,781,721,521,821,581,641,651,551,711
571,541,961,991,441,621,1012,570,831,1082,610,771,571,500,1602,571,851,1052,691,1322,1231,511,771,701,721
801,601,871,691,641,581,1282,571,881,821,751,851,630,481,2174,1072,1202,1622,1061,1592,782,531,722,531,711
821,621,1001,841,591,771,1172,801,911,982,1292,1031,751,621,961,671,972,951,571,891,701,600,851,591,761
630,751,1052,872,781,1021,1062,741,791,1312,1132,751,651,531,1001,661,881,1152,811,1152,781,631,962,611,902
891,1016,1047,781,782,875,859,563,1109,1078,1015,1000,813,609,875,609,797,875,750,891,829,531,875,641,921
967,1168,1360,1038,663,1035,993,881,1232,1160,1023,1274,1001,720,1312,776,1255,1574,1047,1441,1053,687,1277,668,1687
660,710,1100,770,600,770,1320,550,880,880,880,770,880,500,1270,490,1540,1090,550,940,710,500,1210,500,990
529,680,912,668,496,712,777,502,818,983,702,1094,640,576,1018,640,865,721,608,864,698,809,881,567,816
571,722,1231,761,441,590,842,451,832,952,831,641,590,491,781,450,761,741,621,931,640,571,1082,561,731
771,611,861,882,490,681,932,591,761,1202,772,802,761,470,881,661,551,881,601,951,661,590,1022,610,721
875,844,1046,937,906,1078,1235,578,828,954,1328,1016,859,1125,1203,922,1282,1032,703,907,735,735,906,797,812
954,769,1127,800,640,783,928,728,945,865,976,770,967,680,960,776,1080,1104,840,1041,970,879,1008,768,1049
1072,881,1162,952,691,981,891,691,1111,1092,1392,1092,1031,630,1022,781,1152,1242,931,1212,1041,661,1062,801,1131
872,902,1051,1082,661,852,1021,531,971,871,1052,872,951,591,1392,591,1502,1753,831,1011,962,1001,1131,691,1022
1149,1004,1796,1449,853,1401,1219,777,1518,1726,1011,1169,1222,926,1833,871,1276,1266,923,1629,1081,774,1978,1060,1401
992,882,1722,971,741,821,1162,601,1181,1111,942,881,852,621,1442,781,1042,1592,691,1172,1072,1011,1452,981,1211
621,550,831,611,611,481,641,451,741,1232,1031,791,701,510,981,491,1181,892,782,852,661,451,1002,560,751
781,829,1985,750,578,750,1094,594,1125,984,891,922,734,734,953,516,1000,984,734,781,906,484,1312,625,875
1392,841,1412,841,801,851,792,641,732,891,881,791,701,550,1152,661,1482,1282,1342,871,861,511,1101,811,721
811,772,1152,902,742,1101,942,871,991,1251,1072,831,931,741,1462,821,1332,922,711,1642,851,852,1232,921,981
1202,791,1041,842,912,741,1111,932,992,1352,881,1131,741,721,1052,721,1422,931,981,971,932,530,1122,681,1312
531,594,704,594,422,750,594,547,609,875,609,594,531,407,1031,406,875,687,485,921,531,640,921,610,859
641,500,813,656,438,500,844,422,1156,766,875,719,578,453,1047,656,984,578,578,750,672,344,735,453,843
625,953,1375,703,468,781,828,812,812,922,797,656,578,375,1031,375,968,1609,484,891,891,531,1328,563,734
861,861,1352,821,1242,911,1141,731,1412,1182,1162,1692,1192,942,1202,951,1943,1362,961,1462,1041,671,1542,1081,1302
1076,953,1135,1292,797,1007,968,794,927,1358,920,920,1007,803,1369,710,1418,1035,795,1077,941,922,1247,731,1414
431,641,961,641,440,801,891,430,931,781,681,751,761,441,1182,651,781,801,751,1081,631,531,871,731,701
981,631,891,671,511,1082,811,460,691,872,701,641,621,451,801,460,2344,791,561,891,731,691,891,581,731
751,901,1182,971,782,901,1021,581,1342,1152,1102,1142,871,621,1292,901,1162,1091,851,1131,922,721,1182,811,1202
841,1041,1843,831,721,921,1632,580,961,1793,941,1192,811,600,1533,530,1272,1823,801,1352,801,591,1312,591,781
930,830,1640,1050,770,880,1310,600,1760,1320,1260,1760,770,770,1210,770,1370,1710,770,1210,1320,550,1200,720,880
871,1221,1060,746,585,677,806,520,959,1826,708,1100,798,561,864,1320,1270,1145,746,1094,913,956,1119,715,973
1194,748,1084,1068,685,849,1256,647,1017,1060,1073,1084,840,580,1260,1082,1236,1144,780,1314,862,737,1286,689,1155
1129,751,1151,908,656,873,991,555,1766,1801,910,952,892,638,1291,598,1183,1271,732,996,1163,674,2200,821,777
1110,1172,1046,703,672,657,797,672,781,1375,797,984,1250,594,1641,797,843,1422,1500,2234,860,796,968,937,860
1009,1249,1169,879,799,1169,1608,750,1049,1089,1079,979,1029,669,1448,850,1119,1419,849,1249,830,739,1319,810,1149
859,719,1578,782,875,969,1140,656,907,1453,844,1281,797,609,1328,688,1125,1109,797,1203,1047,547,1438,688,1047
880,930,1430,1040,660,880,1100,600,1050,1920,1320,1150,710,660,1430,720,1430,1320,1040,1370,880,880,1100,710,990
683,649,1110,1097,537,873,903,544,890,1080,850,854,719,671,1136,601,999,1057,655,1040,1280,521,961,594,850
761,691,1091,1062,701,731,941,511,871,1061,852,752,631,511,891,571,841,2103,691,1071,671,451,931,551,972
741,1012,1221,1041,671,1022,1071,721,1132,1372,1252,1112,981,631,1232,631,1011,1703,862,1412,801,601,1101,681,1032
786,799,874,779,727,858,1032,601,762,1642,1299,752,770,609,1145,622,1034,1049,708,830,819,688,973,632,856
828,1000,1078,813,578,812,1375,625,1062,969,844,734,766,531,953,563,937,1578,750,875,860,516,1859,860,750
906,1078,1094,922,562,797,891,719,1062,1188,984,1219,766,703,1140,687,922,1094,687,1469,1015,750,938,719,890
810,673,967,714,579,695,767,512,915,1024,1133,1032,704,745,1135,640,774,1224,626,861,752,618,1029,617,886
880,1100,1160,820,720,880,990,550,1320,1480,1540,1210,880,770,1210,650,1040,1540,770,1370,1150,770,1600,820,1150
830,720,990,880,660,820,1100,490,980,1160,820,830,660,550,930,660,1480,990,540,830,660,550,1100,610,830
972,651,931,781,561,782,731,541,991,1032,1202,872,811,530,831,521,861,932,781,831,721,530,1242,591,721
710,600,880,880,550,710,1050,440,1150,1040,660,1040,710,600,940,550,880,1050,650,820,720,490,1160,550,880
880,710,990,710,490,710,980,770,1540,1040,820,820,660,540,1040,610,930,1710,660,940,710,550,2310,660,880
891,1041,1042,681,591,761,1151,511,861,901,771,641,721,401,1322,671,1142,1262,691,972,821,570,1072,571,781
687,563,890,969,484,672,906,1046,782,828,937,719,563,593,890,578,812,797,812,969,656,656,922,578,718
940,720,1320,770,600,720,1370,720,710,1210,930,940,660,550,2310,490,880,1260,660,1090,770,550,1040,660,770
911,881,1272,871,571,831,992,741,982,1111,762,952,961,601,1161,650,1773,1182,561,1903,1271,802,1342,671,1081
771,591,1022,660,781,641,781,451,650,721,942,1222,671,520,761,771,931,821,531,752,661,461,811,551,661
831,681,861,691,621,741,852,481,801,951,931,872,821,541,1062,590,821,1121,681,871,731,470,861,561,721
829,871,1064,705,600,744,1065,537,1112,1257,839,938,719,592,1265,592,952,1120,584,975,815,494,1848,640,807
1234,703,875,781,781,828,969,594,844,875,890,782,828,563,875,687,781,875,625,1500,719,562,1046,625,765
905,662,959,731,612,702,1113,608,809,1435,845,863,685,586,1112,600,905,981,694,900,689,491,1060,636,1140
